id	Term	Description	Source	XRef	Comment (source)	Comment (SCDO)	Exact Syn	Broad Syn	Related Syn	Narrow Syn
SCDO:0000232	Chronic Restrictive Lung Disease	"'Restrictive lung disease is a category of extrapulmonary, pleural, or parenchymal respiratory diseases that restrict lung expansion, resulting in a decreased lung volume, an increased work of breathing, and inadequate ventilation and/or oxygenation. Pulmonary function test demonstrates a decrease in the forced vital capacity. [Curator team: []]'"		HP:0002091		"Wikipedia was used as the description source. Perhaps rather use NCIT's ""Restrictive Lung Disease"", and then use wikipedia as source for additional info. Did not find ""Chronic Restrictive Lung Disease"" in ontologies, but did find ""Chronic Obstructive Lung Disease""...perhaps there was confusion between these terms when giving the name?"	Restrictive Lung Disease			
SCDO:0000232	Chronic Restrictive Lung Disease			HP:0002091			Restrictive Ventilatory Defect			
SCDO:0000233	Chronic Sickle Cell Pain	'Pain that does not resolve and lasts for more than three months. [Curator team: []]'	"http://www.google.co.za/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjxx-Tulb7NAhXnLsAKHfD6AUAQFggaMAA&url=https%3A%2F%2Fwww.nhlbi.nih.gov%2Fsites%2Fwww.nhlbi.nih.gov%2Ffiles%2Fsickle-cell-disease-report.docx&usg=AFQjCNGvyC-yqFkn3aagCT8H8Es4XvVk2g&sig2=ui63uZeXvgLhygMkUOtbjw&bvm=bv.125221236,d.d2s"				SCD-Associated Chronic Pain			
SCDO:0000233	Chronic Sickle Cell Pain		"Evidence-Based Management of Sickle Cell Disease:  Expert Panel Report (EPR), 2014"							
SCDO:0000234	Chronic Sickle Cell Pain Management	'Sickle cell pain management that aims to restore function and improve the quality of life. [Curator team: []]'	"Evidence-Based Management of Sickle Cell Disease, Expert Panel Report, 2014."				Chronic Sickle Cell Pain Treatment			
SCDO:0000235	Cigarette Smoking Status	The respondent's cigarette smoking status in his or her entire life. [Curator team: []]	http://www.phenxtoolkit.org/index.php?pageLink=browse.protocols&id=30600							
SCDO:0000235	Cigarette Smoking Status									
SCDO:0000235	Cigarette Smoking Status									
SCDO:0000235	Cigarette Smoking Status									
SCDO:0000236	Climate	"'Meteorological conditions, including temperature, precipitation, and wind, that characteristically prevail in a particular region; includes regions of the earth having particular meteorological conditions. [Curator team: []]'"	http://bioportal.bioontology.org/ontologies/CRISP?p=classes&conceptid=http%3A%2F%2Fpurl.bioontology.org%2Fontology%2FCSP%2F1035-6799	1035-6799						
SCDO:0000245	Clinical Coding	"Process of substituting a symbol or code for a term such as a diagnosis or procedure. (from Slee's Health Care Terms, 3d ed.) [Curator team: []]"	http://purl.bioontology.org/ontology/MESH/D059019	MESH:D059019		Add specific Sickle Cell Disease related codes as instances/individuals below *Clinical Coding*? (see ICD-10 codes here: www.icd10data.com/ICD10CM/Codes/D50-D89/D55-D59/D57-)				
SCDO:0000246	Clinical Competence	"'The capability to perform acceptably those duties directly related to patient care; Health care services are respectful of and responsive to the health beliefs, practices and cultural and linguistic needs of diverse patients. [Curator team: []]'"	http://purl.bioontology.org/ontology/MESH/D002983	MESH:D002983		"The description is a combination of the descriptions given for ""Clinical Competence"" and ""Culturally Competent Care"" in MESH. Perhaps the two different terms should be described separately?"	Clinical Competencies			
SCDO:0000246	Clinical Competence		http://purl.bioontology.org/ontology/MESH/D065246				Clinical Competency			
SCDO:0000246	Clinical Competence						Clinical Skill			
SCDO:0000246	Clinical Competence						"Competencies, Clinical"			
SCDO:0000246	Clinical Competence						"Competency, Clinical"			
SCDO:0000246	Clinical Competence						"Skill, Clinical"			
SCDO:0000246	Clinical Competence						"Skills, Clinical"			
SCDO:0000247	Clinical Conference	"'Work that consists of a conference of physicians on their observations of a patient at the bedside, regarding the physical state, laboratory and other diagnostic findings, clinical manifestations, results of current therapy, etc. A clinical conference usually ends with a confirmation or correction of clinical findings by a pathological diagnosis performed by a pathologist. Clinical conference is often referred to as a clinico-pathological conference. [Curator team: []]'"	http://purl.bioontology.org/ontology/MESH/D016429	MESH:D016429			Clinico-Pathologic Conference			
SCDO:0000247	Clinical Conference						Clinico-Pathological Conference			
SCDO:0000249	Clinical Diagnostic Questionnaire	'A quick and accurate way of assessing the patient health states using well defined set of questions and analyzed for an optimal clinical decision for the patient. [Curator team: Gaston K. Mazandu]'								
SCDO:0000250	Clinical Neuropathy Assessment	'A physician administered examination to assess peripheral neuropathy. [Curator team: []]'	http://www.phenxtoolkit.org/index.php?pageLink=browse.protocols&id=130200	PX130200						
SCDO:0000251	Clinical Phenotype of Beta Thalassemia	'Abnormal clinical manifestations of beta thalassemia that are as a result of the underlying genotype. Source: CLAIR [Curator team: []]'								
SCDO:0000252	Clinical Study	"'A work that reports on the results of a research study to evaluate interventions or exposures on biomedical or health-related outcomes. The two main types of clinical studies are interventional studies (clinical trials) and observational studies. While most clinical studies concern humans, this publication type may be used for clinical veterinary articles meeting the requisites for humans. [Curator team: []]'"	http://purl.bioontology.org/ontology/MESH/D000068397	MESH:D000068397						
SCDO:0000253	Clinical Studies as Topic	'Works about research studies that evaluate interventions or exposures on biomedical or health-related outcomes. The two main types of clinical studies are interventional studies (clinical trials) and observational studies. [Curator team: []]'	http://purl.bioontology.org/ontology/MESH/D000068456	MESH:D000068456		Term to be adapted as necessary to match EDDA Study Designs Taxonomy				
SCDO:0000254	Clinical Trial	"'A work that reports on the results of a clinical study in which participants are assigned to receive one or more interventions so that researchers can evaluate the interventions on biomedical or health-related outcomes. The assignments are determined by the study protocol. Participants may receive diagnostic, therapeutic, or other types of interventions. While most clinical trials concern humans, this publication type may be used for clinical veterinary articles meeting the requisites for humans. [Curator team: []]'"	http://purl.bioontology.org/ontology/MESH/D016430	MESH:D016430			Intervention Study			
SCDO:0000255	"Clinical Trial, Phase I"	"'Work that is the report of a pre-planned, usually controlled, clinical study of the safety and efficacy of diagnostic, therapeutic, or prophylactic drugs, devices, or techniques based on a small number of healthy persons and conducted over the period of about a year in either the United States or a foreign country. [Curator team: []]'"	http://purl.bioontology.org/ontology/MESH/D017426	MESH:D017426			"Clinical Trial, Phase 1"			
SCDO:0000256	"Clinical Trial, Phase II"	"'Work that is a report of a pre-planned, usually controlled, clinical study of the safety and efficacy of diagnostic, therapeutic, or prophylactic drugs, devices, or techniques based on several hundred volunteers, including a limited number of patients, and conducted over a period of about two years in either the United States or a foreign country. [Curator team: []]'"	http://purl.bioontology.org/ontology/MESH/D017427	MESH:D017427			"Clinical Trial, Phase 2"			
SCDO:0000257	"Clinical Trial, Phase IV"	"'Work that is a report of a planned post-marketing study of diagnostic, therapeutic, or prophylactic drugs, devices, or techniques that have been approved for general sale after clinical trials, phases I, II, and III. These studies, conducted in the United States or a foreign country, often garner additional data about the safety and efficacy of a product. [Curator team: []]'"	http://purl.bioontology.org/ontology/MESH/D017429	MESH:D017429			"Clinical Trial, Phase 4"			
SCDO:0000258	"Clinical Trial, Phase III"	"'Work that is a report of a pre-planned, usually controlled, clinical study of the safety and efficacy of diagnostic, therapeutic, or prophylactic drugs, devices, or techniques after phase II trials. A large enough group of patients is studied and closely monitored by physicians for adverse response to long-term exposure, over a period of about three years in either the United States or a foreign country. [Curator team: []]'"	http://purl.bioontology.org/ontology/MESH/D017428	MESH:D017428			"Clinical Trial, Phase 3"			
SCDO:0000259	Clinical Trials as Topic	"'Works about pre-planned studies of the safety, efficacy, or optimum dosage schedule (if appropriate) of one or more diagnostic, therapeutic, or prophylactic drugs, devices, or techniques selected according to predetermined criteria of eligibility and observed for predefined evidence of favorable and unfavorable effects. This concept includes clinical trials conducted both in the U.S. and in other countries. [Curator team: []]'"	http://purl.bioontology.org/ontology/MESH/D002986							
SCDO:0000262	Cognitive Therapy	"'A direct form of psychotherapy based on the interpretation of situations (cognitive structure of experiences) that determine how an individual feels and behaves. It is based on the premise that cognition, the process of acquiring knowledge and forming beliefs, is a primary determinant of mood and behavior. The therapy uses behavioral and verbal techniques to identify and correct negative thinking that is at the root of the aberrant behavior. [Curator team: []]'"	http://purl.bioontology.org/ontology/MESH/D015928	MESH:D015928			CBT			
SCDO:0000262	Cognitive Therapy						Cognition Therapies			
SCDO:0000262	Cognitive Therapy						Cognition Therapy			
SCDO:0000262	Cognitive Therapy						Cognitive Behavioral Therapies			
SCDO:0000262	Cognitive Therapy						Cognitive Behavioral Therapy			
SCDO:0000262	Cognitive Therapy						Cognitive Behaviour Therapy			
SCDO:0000262	Cognitive Therapy						Cognitive Psychotherapies			
SCDO:0000262	Cognitive Therapy						Cognitive Psychotherapy			
SCDO:0000262	Cognitive Therapy						Cognitive Therapies			
SCDO:0000263	Cohort Studies	"'Studies in which subsets of a defined population are identified. These groups may or may not be exposed to factors hypothesized to influence the probability of the occurrence of a particular disease or other outcome. Cohorts are defined populations which, as a whole, are followed in an attempt to determine distinguishing subgroup characteristics. [Curator team: []]'"	http://purl.bioontology.org/ontology/MESH/D015331							
SCDO:0000264	Colorimetric Test	'A test which produces colour change in the sample. [Curator team: []]'	http://purl.obolibrary.org/obo/CHMO_0002580	CHMO:0002580						
SCDO:0000265	Coma	'A profound state of unconsciousness associated with depressed cerebral activity from which the individual cannot be aroused. [Curator team: []]'	http://purl.bioontology.org/ontology/MESH/D003128	HP:0001259		"The specific type of Blood Test (s) used to diagnose a coma should be specified. --  -- Named Individual removed (is diagnosed by): -- As in any neurologic condition, history and examination form the cornerstone of diagnosis when the patient is in a coma; however, history must be obtained from family, friends, or EMS. The Glasgow Coma Scale is a system of examining a comatose patient. It is helpful for evaluating the depth of the coma, tracking the patient's progress, and predicting (somewhat) the ultimate outcome of the coma. The Glasgow Coma Scale assigns a different number of points for exam results in three different categories: opening the eyes, verbal response (using words or voice to respond), and motor response (moving a part of the body). Fifteen is the largest possible number of total points, indicating the highest level of functioning. The highest level of functioning would be demonstrated by an individual who spontaneously opens his/her eyes, gives appropriate answers to questions about his/her situation, and can carry out a command (such as ""move your leg"" or ""nod your head""). Three is the least possible number of total points and would be given to a patient for whom not even a painful stimulus is sufficient to provoke a response. In the middle are those patients who may be able to respond, but who require an intense or painful stimulus, and whose response may demonstrate some degree of brain malfunctioning (such as a person whose only response to pain in a limb is to bend that limb in toward the body). When performed as part of the admission examination, a Glasgow score of three to five points often suggests that the patient has likely suffered fatal brain damage, while eight or more points indicates that the patient's chances for recovery are good. Expansion of the pupils and respiratory pattern are also important. Metabolic causes of coma are diagnosed from blood work and urinalysis to evaluate blood chemistry, drug screen, and blood cell abnormalities that may indicate infection. Anatomic causes of coma are diagnosed from CT (computed tomography) or MRI (magnetic resonance imaging) scans."	Comas			
SCDO:0000265	Coma			MEDLINEPLUS:C0009421						
SCDO:0000265	Coma			MESH:D003128						
SCDO:0000266	Community	"'A community is a social group of organisms sharing an environment, normally with shared interests. [Curator team: []]'"								
SCDO:0000267	Comorbid Disease	"'The presence of co-existing or additional diseases with reference to an initial diagnosis or with reference to the index condition that is the subject of study. Comorbidity may affect the ability of affected individuals to function and also their survival; it may be used as a prognostic indicator for length of hospital stay, cost factors, and outcome or survival. [Curator team: []]'"	https://www.ncbi.nlm.nih.gov/meshDb=mesh&Cmd=DetailsSearch&Term=%22Comorbidity%22%5BMeSH+Terms%5D	MeSH:D015897		"As per: ""Transition and Sickle Cell Disease"" by Michael R. DeBaun, Joseph Telfair -- Include here: -- Asthma -- Osteonecrosis of the Femoral Head -- Restrictive Lung Disease (currently Chronic Restrictive Lung Disease in SCDO) -- Retinopathy -- Cardiac Dysfunction -- Renal Dysfunction/Renal Failure --  -- ...and others"	Additional Disease			
SCDO:0000267	Comorbid Disease						Co-Existing Disease			
SCDO:0000267	Comorbid Disease						Co-Morbid Disease			
SCDO:0000268	Comparative Study	"'Comparison of outcomes, results, responses, etc for different techniques, therapeutic approaches or other inputs. [Curator team: []]'"	http://purl.bioontology.org/ontology/MESH/D003160	MESH:D003160						
SCDO:0000270	Complete Blood Count	"'The calculation of the cellular elements of the blood, usually including cell counts for white and red blood cells and platelets. [Curator team: []]'"	http://purl.obolibrary.org/obo/CMO_0000364	CMO:0000364			Blood Cell Count			
SCDO:0000270	Complete Blood Count						Blood Cell Number			
SCDO:0000270	Complete Blood Count						CBC			
SCDO:0000270	Complete Blood Count						FBC			
SCDO:0000270	Complete Blood Count						Full Blood Count			
SCDO:0000271	Complementary Therapy	"'Therapeutic practices which are not currently considered an integral part of conventional allopathic medical practice. They may lack biomedical explanations but as they become better researched some (physical therapy modalities; diet; acupuncture) become widely accepted whereas others (humors, radium therapy) quietly fade away, yet are important historical footnotes. Therapies are termed as Complementary when used in addition to conventional treatments and as Alternative when used instead of conventional treatment. Year introduced: 2002(1986) [Curator team: []]'"	http://purl.bioontology.org/ontology/MESH/D000529	MESH:D000529			Complementary Medicine			
SCDO:0000272	Compound Heterozygous Hemoglobinopathy	'Compound heterozygosity in medical genetics is the condition of having two heterogeneous recessive alleles at a particular locus that can cause genetic disease in a heterozygous state. [Curator team: []]'								
SCDO:0000273	Confusion	"'Confusion is the inability to think as clearly or quickly as you normally do. You may feel disoriented and have difficulty paying attention, remembering, and making decisions [Curator team: []]'"		HP:0001289		"Check and show which source was used for the description and whether the description was adapted from the source. -- Provide source for additional info. --  -- Perhaps move below ""Behavioral Abnormality""?"				
SCDO:0000275	Conjugate Pneumococcal Vaccine	'An active immunizing vaccine used to prevent infection by the bacterium Streptococcus pneumoniae. It consists of a solution of saccharides of the capsular antigens of Streptococcus serotypes individually conjugated to proteins. [Curator team: []]'	http://bioportal.bioontology.org/ontologies/NCIT/?p=classes&conceptid=http%3A%2F%2Fncicb.nci.nih.gov%2Fxml%2Fowl%2FEVS%2FThesaurus.owl%23C97123				Pneumococcal Conjugate Vaccine			
SCDO:0000276	Conjunctival Comma Sign	"'Dark red, comma- or corkscrew-shaped vascular fragment that appears to be isolated from neighboring blood vessels in the conjunctiva. Normally benign, this lesion can serve as the first diagnostic sign of sickle cell retinopathy. The conjunctival comma sign results from transient vaso-occlusive processes in the microvasculature of bulbar conjunctiva. It is not seen in sickle trait, but is common in SCD. [Curator team: []]'"	Ballas et al 2010 Am J Hematol							
SCDO:0000277	Consensus Development Conference	"'A work that consists of summary statements representing the majority and current agreement of physicians, scientists, and other professionals meeting to reach a consensus on a selected subject. [Curator team: []]'"	http://purl.bioontology.org/ontology/MESH/D016446	MESH:D016446						
SCDO:0000278	"Consensus Development Conference, NIH"	"'Work consisting of summary statements, from a conference sponsored by NIH, representing the majority of current opinion of physicians, scientists, and other professionals on a selected subject. [Curator team: []]'"	http://purl.bioontology.org/ontology/MESH/D016447	MESH:D016447			NIH Consensus Development Conference			
SCDO:0000279	Constitutional Genetic Disorder	'A genetic disorder inherited during conception that is part of all cells in the organism. [Curator team: []]'	http://purl.obolibrary.org/obo/OGMS_0000051	OGMS:0000051		"Perhaps remove this class but keep sub-classes? Or include the class ""Acquired Genetic Disorder"" as a sibling of this class if terms are included that can be sub-classes of it?"				
SCDO:0000280	Consumer Assessment of Healthcare Providers and Systems (CAHPS) Health Plan Survey 4.0 Child Medicaid Questionnaire	'A measure of patient and family experiences of health care for children treated for sickle cell disease (SCD). [Curator team: []]'	http://www.phenxtoolkit.org/index.php?pageLink=browse.protocoldetails&id=820102							
SCDO:0000280	Consumer Assessment of Healthcare Providers and Systems (CAHPS) Health Plan Survey 4.0 Child Medicaid Questionnaire									
SCDO:0000280	Consumer Assessment of Healthcare Providers and Systems (CAHPS) Health Plan Survey 4.0 Child Medicaid Questionnaire									
SCDO:0000280	Consumer Assessment of Healthcare Providers and Systems (CAHPS) Health Plan Survey 4.0 Child Medicaid Questionnaire									
SCDO:0000281	Continuous Ambulatory ECG	"'A continuous electrocardiographic (ECG) recording that utilizes one or more leads that both records and stores data directly to a device worn by the subject, such that the subject need not be restricted to a medical facility, and may be able to participate in their customary activities of daily living. [Curator team: []]'"	http://bioportal.bioontology.org/ontologies/NCIT/?p=classes&conceptid=http%3A%2F%2Fncicb.nci.nih.gov%2Fxml%2Fowl%2FEVS%2FThesaurus.owl%23C123446	C123446						
SCDO:0000281	Continuous Ambulatory ECG									
SCDO:0000281	Continuous Ambulatory ECG									
SCDO:0000282	Controlled Before-After Studies	"'A study in which observations are made before and after an intervention, both in a group that receives the intervention and in a control group that does not. [Curator team: []]'"	http://purl.bioontology.org/ontology/MESH/D065187							
SCDO:0000283	Controlled Clinical Trial	"'A work that reports on a clinical trial involving one or more test treatments, at least one control treatment, specified outcome measures for evaluating the studied intervention, and a bias-free method for assigning patients to the test treatment. The treatment may be drugs, devices, or procedures studied for diagnostic, therapeutic, or prophylactic effectiveness. Control measures include placebos, active medicine, no-treatment, dosage forms and regimens, historical comparisons, etc. When randomization using mathematical techniques, such as the use of a random numbers table, is employed to assign patients to test or control treatments, the trial is characterized as a randomized controlled trial. [Curator team: []]'"	http://purl.bioontology.org/ontology/MESH/D018848	MESH:D018848						
SCDO:0000284	Controlled Clinical Trials as Topic	"'Works about clinical trials involving one or more test treatments, at least one control treatment, specified outcome measures for evaluating the studied intervention, and a bias-free method for assigning patients to the test treatment. The treatment may be drugs, devices, or procedures studied for diagnostic, therapeutic, or prophylactic effectiveness. Control measures include placebos, active medicines, no-treatment, dosage forms and regimens, historical comparisons, etc. When randomization using mathematical techniques, such as the use of a random numbers table, is employed to assign patients to test or control treatments, the trials are characterized as RANDOMIZED CONTROLLED TRIALS AS TOPIC. [Curator team: []]'"	http://purl.bioontology.org/ontology/MESH/D018849							
SCDO:0000286	Coping Skill	'A state of harmony between internal needs and external demands and the processes used in achieving this condition. [Curator team: []]'	http://purl.bioontology.org/ontology/MESH/D000223	MESH:D000223			Adaptive Behavior			
SCDO:0000286	Coping Skill						Adaptive Behaviors			
SCDO:0000286	Coping Skill						Coping Behavior			
SCDO:0000286	Coping Skill						Coping Behaviors			
SCDO:0000286	Coping Skill						Coping Skills			
SCDO:0000286	Coping Skill						Psychologic Adaptation			
SCDO:0000286	Coping Skill						Psychological Adaptation			
SCDO:0000287	Coping Strategies Questionnaire revised for Sickle Cell Disease (CSQ-SCD)	"The CSQ-SCD consists of 78 items, which make up seven scales related to coping with pain in general: Diverting attention, Reinterpreting pain sensations, Calming self-statements, Ignoring pain sensations, Praying and hoping, Catastrophising, and Increasing activity level; together with six scales developed as specifically relevant to sickle cell disease: Fear self-statements, Anger self-statements, Isolation, Taking fluids, Resting, and Heat/cold/massage. Patients rated their use of each response from 0 = never to 6 = always, and scores were averaged to produce a mean for each scale. Two additional aspects were assessed by single items: perceived ability to control pain was rated from 0 = no control to 6 = complete control, and perceived ability to decrease pain was rated from 0 = can't decrease it at all to 6 = can decrease it completely. [Curator team: []]"				Check and show which source was used for the description and whether the description was adapted from the source.	CSQ-SCD			
SCDO:0000287	Coping Strategies Questionnaire revised for Sickle Cell Disease (CSQ-SCD)						Coping Strategies Questionnaire revised for Sickle Cell Disease			
SCDO:0000288	Coping Strategies Questionnaire revised for Sickle Cell Disease Children (CSQ-SCD Children)	"The CSQ-SCD consists of 78 items, which make up seven scales related to coping with pain in general: Diverting attention, Reinterpreting pain sensations, Calming self-statements, Ignoring pain sensations, Praying and hoping, Catastrophising, and Increasing activity level; together with six scales developed as specifically relevant to sickle cell disease: Fear self-statements, Anger self-statements, Isolation, Taking fluids, Resting, and Heat/cold/massage. Patients rated their use of each response from 0 = never to 6 = always, and scores were averaged to produce a mean for each scale. Two additional aspects were assessed by single items: perceived ability to control pain was rated from 0 = no control to 6 = complete control, and perceived ability to decrease pain was rated from 0 = can't decrease it at all to 6 = can decrease it completely. [Curator team: []]"				Check and show which source was used for the description and whether the description was adapted from the source.	CSQ-SCD Children			
SCDO:0000291	Corticosteroid-Induced Adverse Event	'Not described [Curator team: []]'								
SCDO:0000292	Corticostroid-Induced Vaso-Occlusive Adverse Event	'To be broken up into Object Property [Curator team: []]'								
SCDO:0000294	Cost of Illness	"'The personal cost of acute or chronic disease. The cost to the patient may be an economic, social, or psychological cost or personal loss to self, family, or immediate community. The cost of illness may be reflected in absenteeism, productivity, response to treatment, peace of mind, or quality of life. It differs from health care costs, meaning the societal cost of providing services related to the delivery of health care, rather than personal impact on individuals. [Curator team: []]'"	http://purl.bioontology.org/ontology/MESH/D017281	MESH:D017281			Burden of Illness			
SCDO:0000294	Cost of Illness						Cost of Disease			
SCDO:0000294	Cost of Illness						Cost of Sickness			
SCDO:0000294	Cost of Illness						Costs of Disease			
SCDO:0000294	Cost of Illness						Disease Cost			
SCDO:0000294	Cost of Illness						Disease Costs			
SCDO:0000294	Cost of Illness						Economic Burden of Disease			
SCDO:0000294	Cost of Illness						Sickness Cost			
SCDO:0000295	Cost-Effectiveness of Healthcare	'Cost-effectiveness analysis compares the costs and health effects of an intervention to assess the extent to which it can be regarded as providing value for money. This informs decision-makers who have to determine where to allocate limited healthcare resources. [Curator team: []]'	http://www.medicine.ox.ac.uk/bandolier/painres/download/whatis/Cost-effect.pdf							
SCDO:0000296	Creatinine Blood Test	"'A bioassay to measure the serum concentration of creatinine, a metabolite of muscle creatine that is filtered out of blood by the kidneys. [Curator team: []]'"	http://www.phenxtoolkit.org/index.php?pageLink=browse.protocols&filter=1&id=141400	PX141400			Blood Creatinine Assay			
SCDO:0000296	Creatinine Blood Test						Blood Creatinine Test			
SCDO:0000296	Creatinine Blood Test						Serum Creatinine			
SCDO:0000296	Creatinine Blood Test						Serum Creatinine Assay			
SCDO:0000296	Creatinine Blood Test									
SCDO:0000297	Crisis Intervention	"'Brief therapeutic approach which is ameliorative rather than curative of acute psychiatric emergencies. Used in contexts such as emergency rooms of psychiatric or general hospitals, or in the home or place of crisis occurrence, this treatment approach focuses on interpersonal and intrapsychic factors and environmental modification. (APA Thesaurus of Psychological Index Terms, 7th ed) [Curator team: []]'"	http://purl.bioontology.org/ontology/MESH/D003419	MESH:D003419			Crisis Interventions			
SCDO:0000297	Crisis Intervention						"Interventions, Crisis"			
SCDO:0000298	Cross-Sectional Studies	'Studies in which the presence or absence of disease or other health-related variables are determined in each member of the study population or in a representative sample at one particular time. This contrasts with longitudinal studies which are followed over a period of time. [Curator team: []]'	http://purl.bioontology.org/ontology/MESH/D003430	MESH:D003430						
SCDO:0000299	Culture	"'A collective expression for all behaviour patterns acquired and socially transmitted through symbols. Culture includes customs, traditions, and language. [Curator team: []]'"	http://purl.bioontology.org/ontology/MESH/D003469	MESH:D003469			Cultural Beliefs			
SCDO:0000299	Culture						Cultural Values			
SCDO:0000301	Curative Therapeutics	'Therapeutics relating to or used in the cure of diseases. [Curator team: []]'	http://www.merriam-webster.com/dictionary/curative							
SCDO:0000304	Current Age	The respondent's current age using his or her date of birth. [Curator team: []]	http://www.phenxtoolkit.org/index.php?pageLink=browse.protocols&id=10100	PX010100						
SCDO:0000305	Current Educational Attainment	The respondent's highest educational attainment at the current time. [Curator team: []]	http://www.phenxtoolkit.org/index.php?pageLink=browse.protocols&id=11000	PX11000		"Include under QoL (Education)? -- Include below the Disease Modifier, Socioeconomic Status? (""Child-Reported Parental Education Attainment"" is there)"				
SCDO:0000305	Current Educational Attainment									
SCDO:0000305	Current Educational Attainment									
SCDO:0000305	Current Educational Attainment									
SCDO:0000306	Current Employment Status	The respondent's current employment status. [Curator team: []]	http://www.phenxtoolkit.org/index.php?pageLink=browse.protocols&id=11300	PX11300		Include under QoL?				
SCDO:0000306	Current Employment Status									
SCDO:0000306	Current Employment Status									
SCDO:0000306	Current Employment Status									
SCDO:0000307	Current Marital Status	The respondent's current marital status. [Curator team: []]	http://www.phenxtoolkit.org/index.php?pageLink=browse.protocols&id=10900	PX10900						
SCDO:0000307	Current Marital Status									
SCDO:0000307	Current Marital Status									
SCDO:0000307	Current Marital Status									
SCDO:0000308	Cutaneous Hyperpigmentation	'A darkening of the skin related to an increase in melanin production and deposition. [Curator team: []]'	http://purl.obolibrary.org/obo/HP_0000953	HP:0000953			Increased Skin Pigmentation			
SCDO:0000308	Cutaneous Hyperpigmentation			HP:0000953			Skin Hyperpigmentation			
SCDO:0000309	Cyanosis	'A bluish or purplish discoloration of the skin and mucous membranes due to an increase in the amount of deoxygenated hemoglobin in the blood or a structural defect in the hemoglobin molecule. [Curator team: []]'		HP:0000961		Check and show which source was used for the description and whether the description was adapted from the source. -- Provide source for additional info.	Cyanotic			
SCDO:0000309	Cyanosis			HP:0000961						
SCDO:0000309	Cyanosis			HP:0000961						
SCDO:0000310	Cystatin C Measurement	"'A quantification of serum cystatin C (formerly gamma trace, post-gamma-globulin or neuroendocrine basic polypeptide), an extracellular cystatin subtype that is abundantly expressed in bodily fluids. [Curator team: []]'"	http://purl.bioontology.org/ontology/MESH/D055316	EFO:0004617			Cystatin 3			
SCDO:0000310	Cystatin C Measurement		http://www.ebi.ac.uk/efo/EFO_0004617				Gamma Trace			
SCDO:0000310	Cystatin C Measurement						Gamma-Trace			
SCDO:0000310	Cystatin C Measurement						Neuroendocrine Basic Polypeptide			
SCDO:0000310	Cystatin C Measurement						Post gamma Globulin			
SCDO:0000310	Cystatin C Measurement						Post-Gamma-Globulin			
SCDO:0000311	D57 Sickle-cell disorders	'refer to http://www.icd10data.com/ICD10CM/Codes/D50-D89/D55-D59/D57-/D57 [Curator team: []]'	http://www.icd10data.com/ICD10CM/Codes/D50-D89/D55-D59/D57-	http://www.icd10data.com/ICD10CM/Codes/D50-D89/D55-D59/D57-/D57			D57			
SCDO:0000312	D57.0 Hb-SS disease with crisis	"'Broad term used to describe several different acute conditions occurring with sickle cell disease, including aplastic crisis, hemolytic crisis, and vasoocclusive crisis. [Curator team: []]'"	http://www.icd10data.com/ICD10CM/Codes/D50-D89/D55-D59/D57-/D57.0				D57.0			
SCDO:0000313	D57.01 Hb-SS disease with acute chest syndrome	'refer to http://www.icd10data.com/ICD10CM/Codes/D50-D89/D55-D59/D57-/D57.01 [Curator team: []]'	http://www.icd10data.com/ICD10CM/Codes/D50-D89/D55-D59/D57-/D57.01	http://www.icd10data.com/ICD10CM/Codes/D50-D89/D55-D59/D57-/D57.01			D57.01			
SCDO:0000314	D57.02 Hb-SS disease with splenic sequestration	'refer to http://www.icd10data.com/ICD10CM/Codes/D50-D89/D55-D59/D57-/D57.02 [Curator team: []]'	http://www.icd10data.com/ICD10CM/Codes/D50-D89/D55-D59/D57-/D57.02	http://www.icd10data.com/ICD10CM/Codes/D50-D89/D55-D59/D57-/D57.02			D57.02			
SCDO:0000315	D57.1 Sickle-cell disease without crisis	'refer to http://www.icd10data.com/ICD10CM/Codes/D50-D89/D55-D59/D57-/D57.1 [Curator team: []]'	http://www.icd10data.com/ICD10CM/Codes/D50-D89/D55-D59/D57-/D57.1	http://www.icd10data.com/ICD10CM/Codes/D50-D89/D55-D59/D57-/D57.1			D57.1			
SCDO:0000316	D57.2 Sickle-cell/Hb-C disease	"'One of the sickle cell disorders characterized by the presence of both hemoglobin s and hemoglobin c. It is similar to, but less severe than sickle cell anemia. [Curator team: []]'"	http://www.icd10data.com/ICD10CM/Codes/D50-D89/D55-D59/D57-/D57.2				D57.2			
SCDO:0000317	D57.20 Sickle-cell/Hb-C disease without crisis	'refer to http://www.icd10data.com/ICD10CM/Codes/D50-D89/D55-D59/D57-/D57.20 [Curator team: []]'	http://www.icd10data.com/ICD10CM/Codes/D50-D89/D55-D59/D57-/D57.20				D57.20			
SCDO:0000318	D57.21 Sickle-cell/Hb-C disease with crisis	'refer to http://www.icd10data.com/ICD10CM/Codes/D50-D89/D55-D59/D57-/D57.211 [Curator team: []]'	http://www.icd10data.com/ICD10CM/Codes/D50-D89/D55-D59/D57-/D57.21	http://www.icd10data.com/ICD10CM/Codes/D50-D89/D55-D59/D57-/D57.21			D57.21			
