id	Term	in guideline
SCDO:0000771	Morphine	Evidence-Based Management of Sickle Cell Disease
SCDO:0000771	Morphine	A Parental Guide to Managing Sickle Cell Disease
SCDO:0000771	Morphine	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000771	Morphine	ENERCA Clinical Recommendations for Disease Management and Prevention of Complications of Sickle Cell Disease in Children
SCDO:0000771	Morphine	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000549	Sickle Cell Disease-SS	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000549	Sickle Cell Disease-SS	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0000549	Sickle Cell Disease-SS	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0000549	Sickle Cell Disease-SS	Management of Children with Sickle Cell Disease in Europe: Current Situation and Future Perspectives
SCDO:0000549	Sickle Cell Disease-SS	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000549	Sickle Cell Disease-SS	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000549	Sickle Cell Disease-SS	Evidence-Based Management of Sickle Cell Disease
SCDO:0000549	Sickle Cell Disease-SS	A Parental Guide to Managing Sickle Cell Disease
SCDO:0000549	Sickle Cell Disease-SS	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000549	Sickle Cell Disease-SS	ENERCA Clinical Recommendations for Disease Management and Prevention of Complications of Sickle Cell Disease in Children
SCDO:0000549	Sickle Cell Disease-SS	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000087	Ataxia	Evidence-Based Management of Sickle Cell Disease
SCDO:0001059	Sickle Cell Disease-SC	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0001059	Sickle Cell Disease-SC	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0001059	Sickle Cell Disease-SC	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0001059	Sickle Cell Disease-SC	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0001059	Sickle Cell Disease-SC	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0001059	Sickle Cell Disease-SC	Evidence-Based Management of Sickle Cell Disease
SCDO:0001059	Sickle Cell Disease-SC	A Parental Guide to Managing Sickle Cell Disease
SCDO:0001059	Sickle Cell Disease-SC	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0001059	Sickle Cell Disease-SC	ENERCA Clinical Recommendations for Disease Management and Prevention of Complications of Sickle Cell Disease in Children
SCDO:0001059	Sickle Cell Disease-SC	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0001058	Sickle Cell Disease-S Beta Zero Thalassemia	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0001058	Sickle Cell Disease-S Beta Zero Thalassemia	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0001058	Sickle Cell Disease-S Beta Zero Thalassemia	Management of Children with Sickle Cell Disease in Europe: Current Situation and Future Perspectives
SCDO:0001058	Sickle Cell Disease-S Beta Zero Thalassemia	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0001058	Sickle Cell Disease-S Beta Zero Thalassemia	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0001058	Sickle Cell Disease-S Beta Zero Thalassemia	Evidence-Based Management of Sickle Cell Disease
SCDO:0001058	Sickle Cell Disease-S Beta Zero Thalassemia	A Parental Guide to Managing Sickle Cell Disease
SCDO:0001058	Sickle Cell Disease-S Beta Zero Thalassemia	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0001058	Sickle Cell Disease-S Beta Zero Thalassemia	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0001057	Sickle Beta Thalassemia	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0001057	Sickle Beta Thalassemia	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0001057	Sickle Beta Thalassemia	Management of Children with Sickle Cell Disease in Europe: Current Situation and Future Perspectives
SCDO:0001057	Sickle Beta Thalassemia	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0001057	Sickle Beta Thalassemia	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0001057	Sickle Beta Thalassemia	Evidence-Based Management of Sickle Cell Disease
SCDO:0001057	Sickle Beta Thalassemia	A Parental Guide to Managing Sickle Cell Disease
SCDO:0001057	Sickle Beta Thalassemia	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0001057	Sickle Beta Thalassemia	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0001056	Sickle Cell Disease-S Beta Minus Thalassemia	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0001056	Sickle Cell Disease-S Beta Minus Thalassemia	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0001056	Sickle Cell Disease-S Beta Minus Thalassemia	Management of Children with Sickle Cell Disease in Europe: Current Situation and Future Perspectives
SCDO:0001056	Sickle Cell Disease-S Beta Minus Thalassemia	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0001056	Sickle Cell Disease-S Beta Minus Thalassemia	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0001056	Sickle Cell Disease-S Beta Minus Thalassemia	Evidence-Based Management of Sickle Cell Disease
SCDO:0001056	Sickle Cell Disease-S Beta Minus Thalassemia	A Parental Guide to Managing Sickle Cell Disease
SCDO:0001056	Sickle Cell Disease-S Beta Minus Thalassemia	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0001056	Sickle Cell Disease-S Beta Minus Thalassemia	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000050	Analgesic	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000050	Analgesic	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0000050	Analgesic	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0000050	Analgesic	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000050	Analgesic	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000050	Analgesic	Evidence-Based Management of Sickle Cell Disease
SCDO:0000050	Analgesic	A Parental Guide to Managing Sickle Cell Disease
SCDO:0000050	Analgesic	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000050	Analgesic	ENERCA Clinical Recommendations for Disease Management and Prevention of Complications of Sickle Cell Disease in Children
SCDO:0000050	Analgesic	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000054	Angioid Streaks	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000055	Angiotensin-Converting Enzyme Inhibitors	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0000055	Angiotensin-Converting Enzyme Inhibitors	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000055	Angiotensin-Converting Enzyme Inhibitors	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000759	Migraine	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000057	Anti-Inflammatory Agent	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000057	Anti-Inflammatory Agent	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0000057	Anti-Inflammatory Agent	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0000057	Anti-Inflammatory Agent	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000057	Anti-Inflammatory Agent	Evidence-Based Management of Sickle Cell Disease
SCDO:0000057	Anti-Inflammatory Agent	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000059	Antibiotic	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000059	Antibiotic	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0000059	Antibiotic	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0000059	Antibiotic	Management of Children with Sickle Cell Disease in Europe: Current Situation and Future Perspectives
SCDO:0000059	Antibiotic	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000059	Antibiotic	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000059	Antibiotic	Evidence-Based Management of Sickle Cell Disease
SCDO:0000059	Antibiotic	A Parental Guide to Managing Sickle Cell Disease
SCDO:0000059	Antibiotic	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000059	Antibiotic	ENERCA Clinical Recommendations for Disease Management and Prevention of Complications of Sickle Cell Disease in Children
SCDO:0000059	Antibiotic	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000752	Methadone	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000752	Methadone	Evidence-Based Management of Sickle Cell Disease
SCDO:0001144	Thalassemia	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0001144	Thalassemia	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0001144	Thalassemia	Management of Children with Sickle Cell Disease in Europe: Current Situation and Future Perspectives
SCDO:0001144	Thalassemia	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0001144	Thalassemia	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0001144	Thalassemia	Evidence-Based Management of Sickle Cell Disease
SCDO:0001144	Thalassemia	A Parental Guide to Managing Sickle Cell Disease
SCDO:0001144	Thalassemia	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0001144	Thalassemia	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000778	Muscle Cramps	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000588	Hyperkalemia	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000588	Hyperkalemia	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000588	Hyperkalemia	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000588	Hyperkalemia	Evidence-Based Management of Sickle Cell Disease
SCDO:0000642	Influenza Virus Vaccine	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000270	Complete Blood Count	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000270	Complete Blood Count	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000270	Complete Blood Count	Evidence-Based Management of Sickle Cell Disease
SCDO:0000270	Complete Blood Count	ENERCA Clinical Recommendations for Disease Management and Prevention of Complications of Sickle Cell Disease in Children
SCDO:0000270	Complete Blood Count	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000275	Conjugate Pneumococcal Vaccine	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000275	Conjugate Pneumococcal Vaccine	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0000275	Conjugate Pneumococcal Vaccine	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0000275	Conjugate Pneumococcal Vaccine	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000275	Conjugate Pneumococcal Vaccine	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000275	Conjugate Pneumococcal Vaccine	Evidence-Based Management of Sickle Cell Disease
SCDO:0000275	Conjugate Pneumococcal Vaccine	A Parental Guide to Managing Sickle Cell Disease
SCDO:0000275	Conjugate Pneumococcal Vaccine	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000275	Conjugate Pneumococcal Vaccine	ENERCA Clinical Recommendations for Disease Management and Prevention of Complications of Sickle Cell Disease in Children
SCDO:0000275	Conjugate Pneumococcal Vaccine	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000276	Conjunctival Comma Sign	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000986	Renal Tubular Acidosis	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000986	Renal Tubular Acidosis	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000984	Renal Ischemia	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000984	Renal Ischemia	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000828	Oliguria	Evidence-Based Management of Sickle Cell Disease
SCDO:0000820	Obstructive Sleep Apnea	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000820	Obstructive Sleep Apnea	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000820	Obstructive Sleep Apnea	Evidence-Based Management of Sickle Cell Disease
SCDO:0000820	Obstructive Sleep Apnea	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000820	Obstructive Sleep Apnea	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000822	Occupational Therapy	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000822	Occupational Therapy	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000822	Occupational Therapy	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000822	Occupational Therapy	Evidence-Based Management of Sickle Cell Disease
SCDO:0001293	Developmental Delay	Evidence-Based Management of Sickle Cell Disease
SCDO:0001293	Developmental Delay	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000597	Hyphema	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000597	Hyphema	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000597	Hyphema	Evidence-Based Management of Sickle Cell Disease
SCDO:0000578	Hydrops Fetalis	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000571	HIV Test	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000571	HIV Test	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000571	HIV Test	Evidence-Based Management of Sickle Cell Disease
SCDO:0000576	Hydration Therapy	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000576	Hydration Therapy	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0000576	Hydration Therapy	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0000576	Hydration Therapy	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000576	Hydration Therapy	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000576	Hydration Therapy	Evidence-Based Management of Sickle Cell Disease
SCDO:0000576	Hydration Therapy	A Parental Guide to Managing Sickle Cell Disease
SCDO:0000576	Hydration Therapy	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000576	Hydration Therapy	ENERCA Clinical Recommendations for Disease Management and Prevention of Complications of Sickle Cell Disease in Children
SCDO:0000576	Hydration Therapy	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000222	Cholecystectomy	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000222	Cholecystectomy	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0000222	Cholecystectomy	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0000222	Cholecystectomy	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000222	Cholecystectomy	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000222	Cholecystectomy	Evidence-Based Management of Sickle Cell Disease
SCDO:0000222	Cholecystectomy	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000222	Cholecystectomy	ENERCA Clinical Recommendations for Disease Management and Prevention of Complications of Sickle Cell Disease in Children
SCDO:0000222	Cholecystectomy	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000095	Back Pain	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000095	Back Pain	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0000095	Back Pain	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000095	Back Pain	Evidence-Based Management of Sickle Cell Disease
SCDO:0000095	Back Pain	A Parental Guide to Managing Sickle Cell Disease
SCDO:0000095	Back Pain	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000095	Back Pain	ENERCA Clinical Recommendations for Disease Management and Prevention of Complications of Sickle Cell Disease in Children
SCDO:0000095	Back Pain	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0001253	X-Rays	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0001253	X-Rays	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0001253	X-Rays	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0001253	X-Rays	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0001253	X-Rays	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0001253	X-Rays	Evidence-Based Management of Sickle Cell Disease
SCDO:0001253	X-Rays	A Parental Guide to Managing Sickle Cell Disease
SCDO:0001253	X-Rays	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0001253	X-Rays	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000654	Intracranial Hemorrhage	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0000654	Intracranial Hemorrhage	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000654	Intracranial Hemorrhage	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000654	Intracranial Hemorrhage	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000655	Intracranial Hypertension	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000918	Preeclampsia	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000918	Preeclampsia	Evidence-Based Management of Sickle Cell Disease
SCDO:0000228	Chronic Neuropathic Pain	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000228	Chronic Neuropathic Pain	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000228	Chronic Neuropathic Pain	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000228	Chronic Neuropathic Pain	Evidence-Based Management of Sickle Cell Disease
SCDO:0000228	Chronic Neuropathic Pain	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000785	Myositis	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0001026	Scoliosis	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000395	Diuresis	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000963	Radiography	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000963	Radiography	Evidence-Based Management of Sickle Cell Disease
SCDO:0001327	Fluorescein Angiography	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0001327	Fluorescein Angiography	Evidence-Based Management of Sickle Cell Disease
SCDO:0001321	Fentanyl	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0001321	Fentanyl	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0001321	Fentanyl	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0001323	Serum Ferritin Level	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0001323	Serum Ferritin Level	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0001323	Serum Ferritin Level	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0001323	Serum Ferritin Level	Evidence-Based Management of Sickle Cell Disease
SCDO:0001323	Serum Ferritin Level	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0001323	Serum Ferritin Level	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0001322	Serum Ferritin Test	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0001329	Folic Acid	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0001329	Folic Acid	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0001329	Folic Acid	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0001329	Folic Acid	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0001329	Folic Acid	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0001329	Folic Acid	Evidence-Based Management of Sickle Cell Disease
SCDO:0001329	Folic Acid	A Parental Guide to Managing Sickle Cell Disease
SCDO:0001329	Folic Acid	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0001329	Folic Acid	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000840	Osteomyelitis	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000840	Osteomyelitis	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0000840	Osteomyelitis	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0000840	Osteomyelitis	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000840	Osteomyelitis	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000840	Osteomyelitis	Evidence-Based Management of Sickle Cell Disease
SCDO:0000840	Osteomyelitis	A Parental Guide to Managing Sickle Cell Disease
SCDO:0000840	Osteomyelitis	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000840	Osteomyelitis	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000823	Edema	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000823	Edema	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0000823	Edema	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0000823	Edema	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000823	Edema	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000823	Edema	Evidence-Based Management of Sickle Cell Disease
SCDO:0000823	Edema	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000503	Hematocrit	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000503	Hematocrit	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0000503	Hematocrit	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000503	Hematocrit	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000503	Hematocrit	Evidence-Based Management of Sickle Cell Disease
SCDO:0000503	Hematocrit	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000506	Hematopoietic Stem Cell Transplantation	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000506	Hematopoietic Stem Cell Transplantation	Evidence-Based Management of Sickle Cell Disease
SCDO:0000506	Hematopoietic Stem Cell Transplantation	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000506	Hematopoietic Stem Cell Transplantation	ENERCA Clinical Recommendations for Disease Management and Prevention of Complications of Sickle Cell Disease in Children
SCDO:0000133	Blood Test	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000133	Blood Test	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0000133	Blood Test	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000133	Blood Test	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000133	Blood Test	Evidence-Based Management of Sickle Cell Disease
SCDO:0000133	Blood Test	A Parental Guide to Managing Sickle Cell Disease
SCDO:0000133	Blood Test	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000133	Blood Test	ENERCA Clinical Recommendations for Disease Management and Prevention of Complications of Sickle Cell Disease in Children
SCDO:0000133	Blood Test	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000134	Blood Bilirubin Level	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000134	Blood Bilirubin Level	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0000134	Blood Bilirubin Level	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000134	Blood Bilirubin Level	Evidence-Based Management of Sickle Cell Disease
SCDO:0000134	Blood Bilirubin Level	A Parental Guide to Managing Sickle Cell Disease
SCDO:0000134	Blood Bilirubin Level	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000863	Pallor	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000863	Pallor	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0000863	Pallor	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000863	Pallor	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000863	Pallor	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000863	Pallor	ENERCA Clinical Recommendations for Disease Management and Prevention of Complications of Sickle Cell Disease in Children
SCDO:0000865	Paralysis	Evidence-Based Management of Sickle Cell Disease
SCDO:0000434	Enuresis	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000434	Enuresis	National Guideline for the Control and Management of Sickle Cell Disease
SCDO:0000434	Enuresis	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0000434	Enuresis	Management of Children with Sickle Cell Disease in Europe: Current Situation and Future Perspectives
SCDO:0000434	Enuresis	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000434	Enuresis	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000434	Enuresis	Evidence-Based Management of Sickle Cell Disease
SCDO:0000434	Enuresis	A Parental Guide to Managing Sickle Cell Disease
SCDO:0000434	Enuresis	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000434	Enuresis	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000430	End Stage Kidney Disease	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000430	End Stage Kidney Disease	Recommendations for the Management of Sickle Cell Disease in South Africa
SCDO:0000430	End Stage Kidney Disease	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000430	End Stage Kidney Disease	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000430	End Stage Kidney Disease	Evidence-Based Management of Sickle Cell Disease
SCDO:0000430	End Stage Kidney Disease	Standards for Clinical Care of Adults with Sickle Cell Disease in the UK
SCDO:0000342	Delayed Puberty	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000342	Delayed Puberty	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000342	Delayed Puberty	Sickle Cell Disease in Children, Standards and Guidelines for Clinic Care
SCDO:0000346	Dengue Fever	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000226	Chronic Kidney Disease	Management of Sickle Cell Disease - The United Republic of Tanzania
SCDO:0000226	Chronic Kidney Disease	Sickle Cell Disease: The Clinical Care Guidelines of the Sickle Cell Unit
SCDO:0000226	Chronic Kidney Disease	Consensus Statement on the Care of Patients with Sickle Cell Disease in Canada
SCDO:0000226	Chronic Kidney Disease	Evidence-Based Management of Sickle Cell Disease
